	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.3897079e-09	0.00010450821	1.0321387	0.49825856	0
1	AL627309.1	0.0032245945	0.008999012	1.4525315	3.6534076	0
2	AL627309.3	1.3897079e-09	0.00025904004	1.8441248	0.7710588	0
3	AL627309.5	0.0055941087	0.01104609	0.96899575	1.6264777	0
4	AL627309.4	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
5	AP006222.2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
6	AL669831.2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
7	LINC01409	0.039284803	0.03963236	0.012675513	0.02667133	0
8	FAM87B	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
9	LINC01128	0.05198845	0.06266697	0.26904202	1.4600253	0
10	LINC00115	0.0029498118	0.0014730053	-0.9551967	0.7640688	0
11	FAM41C	0.0033178204	0.0029242558	-0.1764964	0.13169001	0
12	AL645608.6	0.0033593478	0.0009688406	-1.6944534	1.7142179	0
13	AL645608.2	0.0006443502	0.0001690104	-1.4683195	0.47118798	0
14	AL645608.4	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
15	LINC02593	0.002707343	0.0006622004	-1.8809631	1.4901711	0
16	SAMD11	0.022771178	0.0044657513	-2.3246064	10.750013	1
17	NOC2L	0.09835548	0.113388725	0.20500554	1.5605037	0
18	KLHL17	0.015197473	0.013094253	-0.21338369	0.39112416	0
19	PLEKHN1	0.0011552991	0.00047405774	-1.1287633	0.5863335	0
20	PERM1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
21	AL645608.7	0.0051988526	0.0044645644	-0.21520284	0.1866536	0
22	HES4	0.20928878	0.15967266	-0.39016354	6.9422474	0
23	ISG15	0.12594762	0.10055565	-0.3245407	3.4790711	0
24	AL645608.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
25	AGRN	0.061533704	0.09628792	0.6451329	7.755832	0
26	RNF223	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
27	C1orf159	0.062189814	0.046033	-0.4331972	2.5502703	0
28	AL390719.3	0.0052545695	0.0021357026	-1.2600422	1.5693189	0
29	LINC01342	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
30	AL390719.2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
31	TTLL10	0.0007120047	0.00013621952	-1.7813599	0.71986127	0
32	TNFRSF18	0.0011432318	0.00024067445	-1.8676295	0.94729125	0
33	TNFRSF4	0.04099856	0.019773565	-1.0482372	6.5687146	1
34	SDF4	0.3371362	0.35004258	0.054183148	0.6110198	0
35	B3GALT6	0.09783018	0.08983015	-0.12294854	0.68108827	0
36	C1QTNF12	0.002183374	0.0019024798	-0.18937963	0.11604432	0
37	AL162741.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
38	UBE2J2	0.1487598	0.16138358	0.11743337	0.95638293	0
39	LINC01786	0.0013018908	0.0008029251	-0.6346957	0.2649821	0
40	SCNN1D	0.0037394725	0.0016359886	-1.1451508	0.7522426	0
41	ACAP3	0.05943532	0.057352263	-0.051382083	0.15748492	0
42	PUSL1	0.040146314	0.050240133	0.32285237	1.7085452	0
43	INTS11	0.09592889	0.10915012	0.18609443	1.3342211	0
44	AL139287.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
45	CPTP	0.042739864	0.054311175	0.34494898	2.0259528	0
46	TAS1R3	0.00070981856	0.0004440695	-0.5738077	0.23226811	0
47	DVL1	0.019516284	0.021285132	0.12455631	0.24376754	0
48	MXRA8	0.028151305	0.0070291394	-1.9865177	11.330752	1
49	AURKAIP1	0.3404876	0.3937171	0.20949993	5.7023163	0
50	CCNL2	0.25186506	0.28386125	0.17247039	2.5705245	0
51	MRPL20-AS1	0.020555586	0.022689447	0.14183398	0.30740705	0
52	MRPL20	0.40714964	0.39759535	-0.03424979	0.37277272	0
53	AL391244.2	0.001425225	0.0016548843	0.20235373	0.107246354	0
54	ANKRD65	0.0012323547	0.00044823386	-1.2811147	0.643782	0
55	TMEM88B	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
56	LINC01770	0.0004917295	0.0005630602	0.16420215	0.05805008	0
57	VWA1	0.22345673	0.19125739	-0.22437133	2.711849	0
58	ATAD3C	0.006458742	0.0026594207	-1.2490536	1.8680464	0
59	ATAD3B	0.03568737	0.034350127	-0.054941125	0.13128348	0
60	ATAD3A	0.0491502	0.05493933	0.16033341	0.6388933	0
61	TMEM240	0.007396733	0.0132642845	0.83404875	2.0764508	0
62	SSU72	0.2723685	0.2935221	0.10787108	1.4304667	0
63	AL645728.1	0.010963002	0.006811762	-0.67861754	1.4117539	0
64	FNDC10	0.022009952	0.026853094	0.28575495	0.87379235	0
65	AL691432.4	0.0010943183	0.00036084413	-1.3738366	0.6186295	0
66	AL691432.2	0.011684833	0.008986714	-0.37510073	0.638802	0
67	MIB2	0.036392618	0.04713582	0.3722766	1.7708837	0
68	MMP23B	0.003337757	0.014521874	2.0885887	6.701414	1
69	CDK11B	0.16944204	0.177827	0.069642335	0.47347936	0
70	FO704657.1	0.00069210085	0.0003734626	-0.7424336	0.28457722	0
71	SLC35E2B	0.06474459	0.05402343	-0.26073298	1.3457764	0
72	CDK11A	0.13666655	0.13863675	0.020634627	0.095746405	0
73	SLC35E2A	0.031652544	0.023631547	-0.42006606	1.5146662	0
74	NADK	0.06688591	0.079588585	0.25051543	1.6037875	0
75	GNB1	0.8534258	0.8908237	0.06186722	1.9105322	0
76	AL109917.1	0.00076967105	0.0004874036	-0.56611776	0.22636653	0
77	CALML6	0.00041952147	1.3242243e-09	-2.3771644	0.49834105	0
78	TMEM52	0.000322454	0.00046173396	0.4110928	0.13048661	0
79	CFAP74	0.011587877	0.018656872	0.68240637	1.795587	0
80	AL391845.2	0.0052873	0.0025775062	-1.0086724	0.8381753	0
81	GABRD	0.015295912	0.008433729	-0.85129905	2.1570344	0
82	AL391845.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
83	PRKCZ	0.0071972786	0.009956815	0.4627431	0.7872912	0
84	AL590822.2	0.0001533195	1.3242243e-09	-1.340939	0.49830443	0
85	PRKCZ-AS1	0.0005706953	0.00033170966	-0.63559616	0.24676016	0
86	FAAP20	0.26409024	0.28519273	0.11086574	1.4294573	0
87	AL590822.1	0.001019532	0.0028824853	1.4136194	1.0334182	0
88	SKI	0.14762917	0.18305522	0.3101121	4.3019476	0
89	AL590822.3	0.0010966922	0.0045767627	1.9664581	2.097698	0
90	MORN1	0.013351521	0.013646718	0.03131789	0.042404726	0
91	AL589739.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
92	AL513477.2	1.3897079e-09	0.00074031577	3.0709114	1.2058809	0
93	RER1	0.2168125	0.2533319	0.22448486	3.8607244	0
94	PEX10	0.03193291	0.032831013	0.03989212	0.086246416	0
95	PLCH2	0.00018592962	0.00010010569	-0.51489794	0.1646546	0
96	AL139246.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
97	AL139246.4	0.00028372087	1.3242243e-09	-1.9400382	0.49834234	0
98	PANK4	0.015760882	0.018674398	0.24329372	0.5461062	0
99	HES5	0.00471819	0.0011261764	-1.9743248	2.0297065	0
100	AL139246.5	0.013671134	0.0050792275	-1.4108385	3.9784307	0
101	TNFRSF14-AS1	0.0004931265	0.002529218	2.1482222	1.9247695	0
102	TNFRSF14	0.016340883	0.009167786	-0.8269912	2.5824738	0
103	AL139246.3	0.0008507292	0.00010048418	-2.245546	1.015961	0
104	PRXL2B	0.08265927	0.056831367	-0.5396971	5.420767	0
105	MMEL1	0.00025999785	0.00039634627	0.46335858	0.13866726	0
106	AL831784.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
107	TTC34	0.0019972697	0.00044855836	-1.9347954	1.4557111	0
108	AC242022.2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
109	AL589702.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
110	PRDM16-DT	0.005432373	0.0007058701	-2.779279	3.662388	0
111	PRDM16	0.11397362	0.010668479	-3.405079	44.55244	1
112	AL008733.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
113	AL590438.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
114	AL354743.2	0.00039378734	9.926248e-05	-1.3092197	0.48587003	0
115	AL354743.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
116	ARHGEF16	0.013210437	0.0060446924	-1.1151453	3.0383372	0
117	AL512413.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
118	MEGF6	0.02499814	0.0036505507	-2.742406	13.8289995	1
119	AL513320.1	0.0006469697	0.0003084469	-0.8709011	0.3064135	0
120	TPRG1L	0.11034711	0.07832465	-0.49397647	6.305699	0
121	WRAP73	0.04500725	0.046405833	0.044052362	0.1220104	0
122	TP73	1.3897079e-09	9.655857e-05	0.9749392	0.49828035	0
123	AL136528.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
124	CCDC27	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
125	SMIM1	0.0022876821	0.0020295666	-0.16505095	0.11664684	0
126	LRRC47	0.066250704	0.07313794	0.14247933	0.64935076	0
127	AL365330.1	0.0003384263	0.00014059627	-0.8657202	0.22961892	0
128	CEP104	0.121373765	0.1360484	0.16453533	1.3070065	0
129	DFFB	0.016833313	0.022220658	0.3985154	1.0397156	0
130	C1orf174	0.04511283	0.045719773	0.019238126	0.049966846	0
131	LINC01134	0.004008678	0.0014120262	-1.442191	1.4652181	0
132	AL805961.1	0.00023628623	1.3242243e-09	-1.7496706	0.49835196	0
133	LINC01646	0.0007193132	1.3242243e-09	-3.0343962	1.0647327	0
134	AJAP1	0.24142243	0.011376002	-4.3954654	44.55244	1
135	Z98886.1	0.0003151683	9.227178e-05	-1.1105492	0.44467443	0
136	AL365255.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
137	NPHP4	0.017140336	0.032793447	0.9320124	4.660697	0
138	KCNAB2	0.014770501	0.023685006	0.67759913	1.9634749	0
139	CHD5	0.0006592933	0.0013172372	0.90035194	0.4997778	0
140	RPL22	1.2418561	1.3126615	0.07999073	4.393343	0
141	AL031847.1	1.3897079e-09	0.0015626831	4.0554214	2.917136	0
142	RNF207	0.021718223	0.005167569	-2.0503244	9.488502	1
143	ICMT	0.08148704	0.084778816	0.05706462	0.23634546	0
144	LINC00337	0.0013800092	0.00037102462	-1.6517317	1.0113964	0
145	GPR153	0.009452651	0.0072218003	-0.38370278	0.5526319	0
146	ACOT7	0.2733903	0.19560629	-0.48279944	14.06853	0
147	AL031848.2	0.0014675554	0.0011052048	-0.37923807	0.20609322	0
148	HES2	0.008348512	0.004769031	-0.79506266	1.2879099	0
149	ESPN	0.0004902069	0.0005969647	0.23986478	0.087983795	0
150	TNFRSF25	0.04324593	0.03591552	-0.26727787	0.9499862	0
151	PLEKHG5	0.16092984	0.12065624	-0.41523033	5.9946046	0
152	NOL9	0.10793452	0.10796435	0.00039825685	0.0014139647	0
153	TAS1R1	0.00022256313	0.00010010569	-0.68881947	0.21052971	0
154	ZBTB48	0.027417831	0.029438522	0.10223092	0.22040525	0
155	KLHL21	0.0145968115	0.012587227	-0.21212643	0.36386862	0
156	PHF13	0.035576306	0.04205146	0.24061637	0.9095836	0
157	THAP3	0.043963265	0.052896697	0.26632604	1.2498709	0
158	DNAJC11	0.11859603	0.11543356	-0.038959727	0.17606622	0
159	LINC01672	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
160	AL591163.1	1.3897079e-09	0.000264909	1.8675168	0.79980385	0
161	CAMTA1-DT	0.0069721267	0.0033662373	-1.0287737	1.4672966	0
162	CAMTA1	0.40116504	0.3855997	-0.057077404	0.7060437	0
163	AL512330.1	0.00016448624	1.3242243e-09	-1.4031737	0.49830553	0
164	CAMTA1-IT1	0.00031823237	0.00047605037	0.4618902	0.13900006	0
165	Z97987.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
166	AL359881.3	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
167	AL359881.2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
168	AL359881.1	1.3897079e-09	0.00035211584	2.1766725	0.7985695	0
169	VAMP3	0.31776497	0.3957909	0.31668893	11.580082	0
170	Z98884.2	1.3897079e-09	0.00036623477	2.2210367	0.7328076	0
171	PER3	0.008632086	0.0074671325	-0.20657966	0.23749657	0
172	Z98884.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
173	UTS2	0.00016434983	1.3242243e-09	-1.4024293	0.49832442	0
174	TNFRSF9	0.0046503865	0.00074070966	-2.4983654	2.8632667	0
175	PARK7	0.6069985	0.63854563	0.07308507	1.6671729	0
176	AL034417.4	0.003647801	0.0043475158	0.24695525	0.17911442	0
177	AL034417.3	0.0036571443	0.01118385	1.5865508	4.464606	0
178	ERRFI1	0.14165138	0.18244475	0.36488742	4.785297	0
179	AL034417.2	0.010138081	0.020418905	1.0030082	3.3387823	0
180	LINC01714	1.3897079e-09	0.0003007882	2.00282	0.6988148	0
181	SLC45A1	0.010793043	0.010362129	-0.058230665	0.07497846	0
182	RERE	1.0705628	0.87084115	-0.2978571	30.856491	0
183	RERE-AS1	0.002258069	0.002199966	-0.035993498	0.0206665	0
184	AL357552.2	0.00022947168	1.3242243e-09	-1.7201355	0.49835235	0
185	ENO1	0.811367	1.6402701	1.0154171	44.55244	1
186	ENO1-AS1	0.000798149	0.00033235142	-1.0547503	0.48975256	0
187	CA6	0.0001390407	0.00012877144	-0.0633493	0.01918371	0
188	SLC2A7	1.3897079e-09	0.00011179032	1.0826167	0.4982523	0
189	SLC2A5	0.0012894964	1.3242243e-09	-3.796471	1.8214186	0
190	GPR157	0.005699494	0.012606713	1.131592	3.1217237	0
191	MIR34AHG	0.09020148	0.064555064	-0.48198625	3.592425	0
192	LNCTAM34A	0.02473853	0.016959032	-0.5420439	1.6652021	0
193	H6PD	0.049408186	0.038334306	-0.36527246	1.6748353	0
194	SPSB1	0.058895122	0.028104184	-1.0646865	8.925257	1
195	BX323043.1	1.3897079e-09	0.0001839042	1.5053842	0.7921732	0
196	LINC02606	0.0044739507	0.0046382607	0.05091678	0.04107669	0
197	SLC25A33	0.059370093	0.052175	-0.1860432	0.79073036	0
198	TMEM201	0.014989095	0.013798754	-0.118550755	0.1993011	0
199	PIK3CD	0.008738296	0.004861466	-0.83300185	1.4956384	0
200	PIK3CD-AS2	0.004177388	0.0062014344	0.55895025	0.7802375	0
201	CLSTN1	0.1869316	0.25610888	0.45403844	12.125874	0
202	CTNNBIP1	0.22367914	0.13232285	-0.7569235	23.974598	0
203	AL357140.1	0.00024353378	1.3242243e-09	-1.7804329	0.49836648	0
204	AL357140.4	0.00034699228	0.00014993272	-0.8387102	0.30685595	0
205	LZIC	0.1593162	0.18995559	0.25362316	3.6009593	0
206	AL357140.2	0.0002977427	0.00015704974	-0.6297878	0.170044	0
207	NMNAT1	0.05860425	0.0654557	0.1592562	0.69646055	0
208	RBP7	0.16279534	0.016060755	-3.3333788	34.868942	1
209	UBE4B	0.2609149	0.31180894	0.25699285	5.1249557	0
210	KIF1B	0.6303785	0.81341845	0.36772788	31.493908	0
211	AL139424.3	0.0023162279	0.004630438	0.9692172	0.9464346	0
212	AL139424.2	0.003897465	0.010730572	1.437952	3.746869	0
213	PGD	0.29691017	0.31414285	0.081367545	0.9207493	0
214	AL139424.1	1.3897079e-09	9.4241834e-05	0.95783395	0.4982753	0
215	CENPS	0.024224626	0.030653091	0.3383138	1.1634963	0
216	CORT	0.0022246602	0.0038852154	0.7776378	0.90599453	0
217	DFFA	0.17666495	0.21983628	0.31525335	5.882675	0
218	AL354956.1	0.0011667057	0.00033245017	-1.5504755	0.73965317	0
219	PEX14	0.120744295	0.13894631	0.20241606	1.6850121	0
220	AL139423.2	1.3897079e-09	0.00018765102	1.5242996	0.49826738	0
221	CASZ1	0.0014230257	0.004790144	1.6829367	2.693168	0
222	AL139423.1	1.3897079e-09	0.00048537808	2.5493486	1.272558	0
223	C1orf127	1.3897079e-09	0.00011782573	1.1231543	0.49824393	0
224	TARDBP	0.14843969	0.16946343	0.19097652	1.9159162	0
225	MASP2	0.0002713739	0.00074597617	1.1877446	0.516544	0
226	AL109811.2	0.004750664	0.005808405	0.2845865	0.3344816	0
227	SRM	0.2192271	0.27464667	0.32501787	7.3776503	0
228	EXOSC10	0.19818528	0.22583482	0.18832895	2.4457915	0
229	AL109811.1	0.0037161943	0.0047899857	0.3576955	0.29923707	0
230	EXOSC10-AS1	0.003434076	0.0020417965	-0.7225117	0.6935983	0
231	MTOR	0.12817039	0.13989237	0.12616013	0.8883363	0
232	MTOR-AS1	1.3897079e-09	0.00061756565	2.8430908	1.0494457	0
233	ANGPTL7	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
234	UBIAD1	0.04059642	0.03048553	-0.41205278	1.8828425	0
235	AL031291.1	1.3897079e-09	0.00016972254	1.4314561	0.49828106	0
236	DISP3	0.009246752	0.0019673568	-2.1766775	4.357398	0
237	LINC01647	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
238	AL031731.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
239	FBXO2	0.000498817	0.0013881627	1.3133452	0.83075225	0
240	FBXO44	0.011594797	0.010847785	-0.09522785	0.12719448	0
241	FBXO6	0.0179699	0.0067709093	-1.3950157	5.150731	1
242	MAD2L2	0.061892696	0.05509971	-0.16743754	0.7293802	0
243	DRAXIN	0.0036177868	0.0012165644	-1.497666	1.480885	0
244	AGTRAP	0.14726813	0.145177	-0.020618157	0.104286775	0
245	C1orf167	0.0006617658	0.002032543	1.4851555	1.1178253	0
246	MTHFR	0.054589868	0.082407564	0.59325284	6.4920497	0
247	CLCN6	0.0819233	0.09346123	0.18987703	1.0992016	0
248	NPPA	0.0014966107	0.05182241	5.023273	25.143291	1
249	NPPB	0.00011717408	0.027066637	6.9668403	19.179956	1
250	AL021155.5	0.002405312	0.004425622	0.8531258	0.80913264	0
251	KIAA2013	0.1025606	0.12951525	0.3363528	3.9618695	0
252	PLOD1	0.32339832	0.4245947	0.39266792	17.249832	0
253	AL096840.2	0.0002867667	0.0004420433	0.48694447	0.16277885	0
254	MFN2	0.050185747	0.0690049	0.45863843	3.6853516	0
255	MIIP	0.042176727	0.03313615	-0.34711027	1.5557252	0
256	TNFRSF8	0.0013590525	0.0003899393	-1.5743569	0.9149396	0
257	TNFRSF1B	0.09024444	0.041474983	-1.1197201	16.292404	1
258	VPS13D	0.2582979	0.25620443	-0.01173589	0.07303778	0
259	DHRS3	0.11989589	0.004548768	-4.689993	44.55244	1
260	AC254633.1	0.0017198396	1.3242243e-09	-4.1857204	1.9684451	0
261	AADACL4	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
262	AADACL3	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
263	C1orf158	0.0001808122	1.3242243e-09	-1.4895867	0.49834934	0
264	HNRNPCL2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
265	LRRC38	1.3897079e-09	0.00017523559	1.460647	0.49830273	0
266	AL354712.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
267	PDPN	0.00014935838	0.0024235412	3.3391569	1.584865	0
268	PRDM2	0.24989799	0.26235566	0.07015715	0.6174319	0
269	KAZN	0.17801963	0.101282164	-0.81304264	15.735404	0
270	AL357873.1	0.0011252566	0.00059167744	-0.82491255	0.36795634	0
271	KAZN-AS1	0.0016445353	0.00033898544	-1.9905978	0.8293625	0
272	AL031293.1	0.0003232313	0.00016992941	-0.6488642	0.22837761	0
273	TMEM51-AS1	0.0021000132	0.0037548903	0.8091776	0.681242	0
274	TMEM51	0.12044584	0.10901802	-0.14369245	0.88472414	0
275	C1orf195	0.0009593175	0.0017893732	0.8347726	0.5588354	0
276	FHAD1	0.010132764	0.017357297	0.77063435	1.9799788	0
277	AL031283.2	1.3897079e-09	0.00081149855	3.1882205	0.6185201	0
278	AL031283.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
279	EFHD2	0.16367282	0.12457356	-0.39354044	5.924813	0
280	CTRC	0.0004478998	0.00063706824	0.4278861	0.17152199	0
281	CELA2A	1.3897079e-09	0.0001632525	1.3964273	0.4982538	0
282	CELA2B	0.00014713904	0.0007833318	1.8376324	1.1267784	0
283	CASP9	0.020873649	0.028375452	0.44114092	1.4848258	0
284	DNAJC16	0.0701601	0.08173534	0.22001839	1.2570798	0
285	AL121992.3	0.0002937851	1.3242243e-09	-1.9773893	0.4983489	0
286	AGMAT	0.0020394356	0.0028206485	0.44905847	0.36820465	0
287	AL121992.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
288	DDI2	0.1542855	0.17443758	0.17700034	1.6519963	0
289	AL121992.2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
290	PLEKHM2	0.19828598	0.1988144	0.0038376716	0.020724138	0
291	AL450998.3	0.0017765926	0.00047700963	-1.7014481	1.0716534	0
292	SLC25A34	0.004961563	0.00983362	0.9727367	2.1265497	0
293	SLC25A34-AS1	0.006072585	0.002214164	-1.4153836	2.1556997	0
294	TMEM82	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
295	FBLIM1	0.53206486	0.41628787	-0.3539453	17.823555	0
296	UQCRHL	0.0071768127	0.0130462665	0.8532745	2.3564513	0
297	AL450998.2	0.037937548	0.027359318	-0.4701285	1.9961267	0
298	SPEN	0.253205	0.27823186	0.13593046	1.8156513	0
299	ZBTB17	0.040324036	0.037700113	-0.09682285	0.27180058	0
300	SRARP	0.00036384925	0.00014191095	-0.9391799	0.34631893	0
301	HSPB7	0.0024693348	0.0421104	4.0381317	24.150003	1
302	CLCNKA	0.0004185745	0.0011270506	1.2425716	0.26498035	0
303	CLCNKB	1.3897079e-09	0.00020762387	1.6211475	0.80289674	0
304	FAM131C	1.3897079e-09	0.0025713765	4.7394915	1.6677705	0
305	EPHA2	0.061091106	0.051738236	-0.23930532	1.1886963	0
306	AL451042.2	0.001803048	0.0008609501	-0.9857784	0.6337904	0
307	AL451042.1	0.0040698424	0.001992673	-0.99464595	1.1171367	0
308	ARHGEF19	0.008307437	0.0056416215	-0.5502079	0.8521361	0
309	AL109627.1	0.0024617806	0.0034146165	0.4562203	0.4118783	0
310	CPLANE2	0.004130049	0.0041513075	0.0072321156	0.0053521	0
311	FBXO42	0.1351596	0.10431053	-0.3734638	4.151126	0
312	SZRD1	0.20625046	0.21120921	0.034258947	0.2327848	0
313	SPATA21	0.004707817	0.0037140495	-0.33405834	0.30080363	0
314	NECAP2	0.22533347	0.2731424	0.27747953	5.9825406	0
315	LINC01772	0.0037029483	0.0053504175	0.51924837	0.4616179	0
316	AL137802.2	0.00084424054	0.0007646792	-0.12698938	0.05271561	0
317	AL137802.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
318	LINC01783	0.0002638997	1.3242243e-09	-1.8635218	0.4983624	0
319	NBPF1	0.047826964	0.047597315	-0.006929544	0.0173478	0
320	CROCC	0.07766568	0.055891704	-0.4739205	3.748216	0
321	BX284668.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
322	BX284668.2	0.0002460858	1.3242243e-09	-1.7911108	0.49834588	0
323	BX284668.5	0.030815214	0.016175725	-0.9255952	5.0733986	0
324	BX284668.6	0.0009868677	7.2287025e-05	-2.6572905	1.076111	0
325	MFAP2	0.5015077	0.28096542	-0.8356537	44.55244	0
326	AL049569.2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
327	AL049569.1	0.0060571185	0.0027467664	-1.1129311	1.2764121	0
328	ATP13A2	0.1543227	0.09234648	-0.74019456	15.61183	0
329	SDHB	0.17188945	0.2021591	0.23388454	3.2019553	0
330	PADI2	0.0009670343	0.0001293633	-2.2179003	1.0256268	0
331	LINC02783	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
332	AL590644.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
333	PADI1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
334	PADI3	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
335	PADI4	1.3897079e-09	0.00011431742	1.0997291	0.4982316	0
336	PADI6	0.00016215496	1.3242243e-09	-1.3904008	0.49827087	0
337	RCC2-AS1	1.3897079e-09	0.0012732199	3.7794707	0.58571416	0
338	RCC2	0.15544745	0.1290042	-0.26881886	2.8588874	0
339	ARHGEF10L	0.05409604	0.032953564	-0.71338165	4.9527864	0
340	LINC02810	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
341	ACTL8	1.3897079e-09	0.0007260539	3.046216	1.5159296	0
342	AL357509.1	0.0002288279	1.3242243e-09	-1.7173136	0.49833202	0
343	LINC01654	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
344	IGSF21	0.00019235356	8.943724e-05	-0.62599427	0.20232074	0
345	AL591896.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
346	KLHDC7A	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
347	PAX7	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
348	TAS1R2	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
349	ALDH4A1	0.015986213	0.012778299	-0.32088268	0.7034935	0
350	IFFO2	0.08284406	0.080863394	-0.034868967	0.1224841	0
351	AL137127.1	0.0009825213	0.0014383139	0.5069545	0.1688181	0
352	UBR4	0.24197553	0.32626614	0.4310341	13.192592	0
353	EMC1-AS1	0.031142335	0.040084694	0.3631438	1.3151681	0
354	EMC1	0.050149076	0.060740437	0.2759335	1.4733253	0
355	MRTO4	0.14594963	0.17022245	0.22180982	2.5311098	0
356	AKR7A3	0.0013321883	0.0006055214	-1.0214593	0.5889152	0
357	AKR7A2	0.16626476	0.17829551	0.10072938	0.8567109	0
358	SLC66A1	0.051946145	0.04426065	-0.23051079	1.0285119	0
359	CAPZB	0.7656707	0.8985863	0.23090513	19.369549	0
360	MICOS10	0.52102625	0.5358608	0.040494416	0.5788417	0
361	AL031727.2	1.3897079e-09	0.0010099637	3.4724205	0.6522281	0
362	NBL1	0.10267396	0.08857345	-0.21290073	1.4271702	0
363	HTR6	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
364	TMCO4	0.017895082	0.01750204	-0.031860054	0.049923487	0
365	RNF186	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
366	OTUD3	0.0639815	0.03351895	-0.9306332	8.307757	0
367	PLA2G2A	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
368	PLA2G5	0.0013772151	0.0040885797	1.5035812	1.1387874	0
369	PLA2G2F	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
370	PLA2G2C	1.3897079e-09	0.000102173195	1.0155717	0.49825537	0
371	UBXN10-AS1	1.3897079e-09	0.0009398978	3.3783498	2.0577798	0
372	UBXN10	0.0011832693	0.00036533	-1.4634978	0.78922945	0
373	VWA5B1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
374	AL020998.1	1.3897079e-09	1.3242243e-09	-9.459049e-07	0.80471987	0
