gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PR	UN	nan
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.002	0.0	0.449	0.0	0.0	0.002
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.004	0.0	0.936	0.0	0.004	0.005
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.002	0.0	0.013	0.0	0.002	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.0	0.0	0.0	0.0	0.005
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.006	0.0	0.0	0.2	0.004	0.064
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.001	0.768	0.013	0.0	0.006	0.007
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.002	0.0	0.051	0.0	0.004	0.054
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.005	0.029	0.0	0.0	0.0	0.046
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.077	0.0	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.01	0.0	0.013	0.0	0.004	0.005
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.001	0.0	0.0	0.0	0.0	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.012	0.0	0.0	0.0	0.027	0.01
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.005	0.0	0.0	0.0	0.002	0.02
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.27	0.58	0.923	0.6	0.145	0.988
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.888	0.029	0.269	0.0	0.285	0.083
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.28	0.71	0.038	0.2	0.08	0.604
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.003	0.0	0.91	0.0	0.002	0.005
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.048	0.087	0.038	0.0	0.012	0.215
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.036	0.014	0.872	0.0	0.016	0.11
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.005	0.0	0.0	0.0	0.0	0.032
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.01	0.0	0.013	0.0	0.004	0.005
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.001	0.0	0.0	0.0	0.0	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.012	0.0	0.0	0.0	0.027	0.01
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.005	0.0	0.0	0.0	0.002	0.02
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.192	0.058	0.038	0.0	0.045	0.34
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.0	0.0	0.0	0.0	0.0	0.015
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.0	0.0	0.0	0.0	0.0	0.01
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.0	0.0	0.0	0.0	0.015
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.0	0.029	0.0	0.2	0.0	0.029
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.239	0.0	0.128	0.0	0.037	0.254
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.012	0.0	0.218	0.0	0.004	0.024
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.035	0.0	0.026	0.0	0.006	0.024
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.004	0.072	0.064	0.0	0.006	0.095
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.001	0.0	0.0	0.0	0.002	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.0	0.0	0.002
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.03	0.0	0.0	0.0	0.004	0.132
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.082	0.478	0.064	0.4	0.018	0.12
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.03	0.0	0.0	0.0	0.004	0.132
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.082	0.478	0.064	0.4	0.018	0.12
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.113	0.087	0.321	0.0	0.043	0.056
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.025	0.029	0.115	0.0	0.006	0.117
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.002	0.0	0.0	0.0	0.002	0.029
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.003	0.0	0.256	0.0	0.002	0.017
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.002	0.0	0.0	0.0	0.004	0.007
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.053	0.014	0.064	0.0	0.008	0.267
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.007	0.0	0.0	0.2	0.002	0.002
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.007	0.0	0.013	0.0	0.006	0.45
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	0.719	0.232	0.897	0.8	0.207	0.954
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.47	0.0	0.077	0.0	0.119	0.834
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.029	0.0	0.0	0.0	0.01	0.005
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.035	0.362	0.846	0.2	0.068	0.685
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.186	0.362	0.128	0.0	0.07	0.359
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.024	0.203	0.038	0.2	0.012	0.12
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.663	0.406	0.91	0.2	0.34	0.753
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.024	0.203	0.038	0.2	0.012	0.12
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.663	0.406	0.91	0.2	0.34	0.753
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.024	0.203	0.038	0.2	0.012	0.12
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.663	0.406	0.91	0.2	0.34	0.753
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.069	0.58	0.064	0.6	0.02	0.237
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.001	0.0	0.0	0.0	0.002	0.049
NPY	P01303	False	NPY_HUMAN		CPI-SS0E2083FAC	NPY	0.001	0.0	0.0	0.0	0.002	0.049
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.001	0.0	0.026	0.0	0.0	0.0
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.0	0.0	0.0	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.592	0.029	0.103	0.0	0.201	0.242
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.029	0.0	0.0	0.0	0.0
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.017	0.0	0.026	0.0	0.008	0.022
SST	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	SST	0.0	0.0	0.0	0.0	0.0	0.0
SDC2	P34741	False	SDC2_HUMAN		CPI-SS0D681D90E	SDC2	0.276	0.029	0.897	0.2	0.043	0.606
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.005	0.0	0.013	0.2	0.008	0.296
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS05A3055C3	TNFSF10	0.001	0.058	0.308	0.0	0.0	0.027
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.663	0.406	0.91	0.2	0.34	0.753
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.017	0.072	0.026	0.0	0.014	0.037
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.001	0.0	0.0	0.0	0.002	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.032	0.0	0.103	0.2	0.008	0.196
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.001	0.0	0.0	0.0	0.002	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.017	0.072	0.026	0.0	0.014	0.037
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.001	0.0	0.0	0.0	0.002	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.032	0.0	0.103	0.2	0.008	0.196
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.001	0.0	0.0	0.0	0.002	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.017	0.072	0.026	0.0	0.014	0.037
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.001	0.0	0.0	0.0	0.002	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.032	0.0	0.103	0.2	0.008	0.196
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.001	0.0	0.0	0.0	0.002	0.002
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.001	0.0	0.013	0.0	0.0	0.002
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.004	0.971	0.0	0.4	0.006	0.068
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.073	0.899	0.051	0.2	0.029	0.134
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.073	0.899	0.051	0.2	0.029	0.134
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.073	0.899	0.051	0.2	0.029	0.134
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.073	0.899	0.051	0.2	0.029	0.134
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGB7	0.0	0.0	0.0	0.0	0.002	0.0
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGB7	0.0	0.0	0.0	0.0	0.002	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGA4	0.0	0.0	0.0	0.0	0.002	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGA4	0.0	0.0	0.0	0.0	0.002	0.0
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.001	0.014	0.0	0.0	0.0	0.002
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.001	0.014	0.0	0.0	0.0	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.008	0.0	0.013	0.0	0.002	0.012
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0EEFFA23C	NRXN3	0.008	0.0	0.013	0.0	0.002	0.012
