gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	PR	UN
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.002	0.0	0.304	0.001	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.0	1.596	0.007	0.0	0.008
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.001	0.0	0.006	0.0	0.0	0.003
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.0	0.0	0.004	0.0	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.004	0.0	0.0	0.05	0.384	0.006
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.001	1.069	0.008	0.008	0.0	0.014
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.001	0.0	0.026	0.043	0.0	0.01
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.004	0.014	0.0	0.038	0.0	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.097	0.0	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.007	0.0	0.005	0.003	0.0	0.006
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.001	0.0	0.0	0.002	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.009	0.0	0.0	0.01	0.0	0.053
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.004	0.0	0.0	0.015	0.0	0.004
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.265	0.894	1.97	2.845	1.758	0.341
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	1.53	0.024	0.188	0.077	0.0	0.681
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.263	0.965	0.044	0.722	0.152	0.133
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.002	0.0	1.171	0.003	0.0	0.003
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.041	0.088	0.017	0.203	0.0	0.019
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.028	0.003	1.695	0.111	0.0	0.034
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.004	0.0	0.0	0.024	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.007	0.0	0.005	0.003	0.0	0.006
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.001	0.0	0.0	0.002	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.009	0.0	0.0	0.01	0.0	0.053
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.004	0.0	0.0	0.015	0.0	0.004
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.239	0.037	0.022	0.345	0.0	0.094
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.0	0.0	0.0	0.025	0.0	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.0	0.0	0.0	0.016	0.0	0.0
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.0	0.0	0.011	0.0	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.0	0.025	0.0	0.046	0.843	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.221	0.0	0.058	0.294	0.0	0.067
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.018	0.0	0.187	0.023	0.0	0.009
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.026	0.0	0.014	0.019	0.0	0.012
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.003	0.084	0.069	0.137	0.0	0.01
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.001	0.0	0.0	0.0	0.0	0.002
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.001	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.022	0.0	0.0	0.102	0.0	0.01
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.065	0.521	0.051	0.114	0.545	0.029
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.022	0.0	0.0	0.102	0.0	0.01
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.065	0.521	0.051	0.114	0.545	0.029
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.136	0.053	0.491	0.074	0.0	0.089
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.019	0.018	0.053	0.077	0.0	0.014
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.002	0.0	0.0	0.016	0.0	0.005
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.003	0.0	0.153	0.011	0.0	0.004
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.001	0.0	0.0	0.005	0.0	0.006
