id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|PR	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|PR	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|PR	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|PR	FB|UN	PR|CM	PR|EC	PR|EP	PR|FB	PR|PR	PR|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|PR	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.001	0.535	0.004	0.004	0.0	0.007	0.535	1.069	0.538	0.538	0.0	0.541	0.004	0.538	0.008	0.008	0.0	0.011	0.004	0.538	0.008	0.008	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.541	0.011	0.011	0.0	0.014
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.001	0.0	0.014	0.022	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.026	0.035	0.0	0.018	0.022	0.0	0.035	0.043	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.018	0.027	0.0	0.01
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.004	0.009	0.0	0.021	0.0	0.0	0.009	0.014	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.026	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.0	0.005	0.008	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.004	0.006	0.0	0.003	0.005	0.0	0.003	0.005	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.004	0.007	0.0	0.004
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.004	0.0	0.002	0.005	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.005	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.0	0.006	0.008	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.006	0.009	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.028	0.03	0.0	0.028
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.005	0.0	0.003	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.009	0.011	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.003	0.006	0.0	0.003
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.133	0.0	0.0	0.0	0.0	0.134	0.447	0.0	0.0	0.0	0.0	0.449	0.985	0.0	0.0	0.0	0.0	0.987	1.423	0.0	0.0	0.0	0.0	1.425	0.879	0.0	0.0	0.0	0.0	0.881	0.171	0.0	0.0	0.0	0.0	0.172
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	Ligand-Receptor	Adhesion by VCAM	0.765	0.0	0.0	0.0	0.0	0.767	0.012	0.0	0.0	0.0	0.0	0.014	0.094	0.0	0.0	0.0	0.0	0.096	0.039	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.341	0.0	0.0	0.0	0.0	0.343
