	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.06889457	0.12329514	0.8387309	5.4522314	1
43	TNFRSF4	3.1286618e-10	0.003258753	5.0698495	8.146797	1
44	SDF4	0.9497519	0.37872848	-1.3261578	44.55244	1
48	UBE2J2	0.31142917	0.21264848	-0.55021834	5.1108675	1
52	PUSL1	0.13496363	0.06857894	-0.9756995	5.0013404	1
68	VWA1	0.1911888	0.04367021	-2.127731	15.115711	1
69	ATAD3C	3.1286618e-10	0.0027375	4.826544	6.8001084	1
73	SSU72	0.8650712	0.5445048	-0.66777587	25.593264	1
75	FNDC10	0.12070371	0.040463977	-1.5743937	7.378537	1
79	MMP23B	0.47355336	0.063900016	-2.8876872	36.39846	1
104	RER1	0.7887925	0.436488	-0.8535563	30.27779	1
110	HES5	3.1286618e-10	0.006144322	5.9644685	12.864654	1
113	TNFRSF14	3.1286618e-10	0.007344807	6.2181582	19.417315	1
134	MEGF6	0.004572733	0.020637922	2.149933	5.177386	1
142	SMIM1	0.20417416	0.055655587	-1.8733183	13.603249	1
177	ACOT7	0.10165016	0.04001495	-1.3428192	6.0120363	1
180	ESPN	0.09375856	0.00033149697	-7.764994	9.782366	1
189	THAP3	0.16666643	0.07504011	-1.1501738	7.394536	1
202	VAMP3	0.458495	0.2089652	-1.1332676	21.504562	1
211	ERRFI1	0.27796853	0.036762353	-2.9152203	21.531044	1
219	ENO1	2.8673842	1.158982	-1.3068027	44.55244	1
228	SPSB1	0.013474434	0.03706995	1.4532449	5.088836	1
237	CLSTN1	0.4010467	0.23066394	-0.797712	11.061701	1
245	RBP7	0.0013643765	0.032600146	4.480939	43.598198	1
264	SRM	0.67082125	0.41008076	-0.7098837	16.189348	1
277	FBXO2	0.05938616	0.0054764203	-3.415143	5.867338	1
280	MAD2L2	0.23832977	0.08662982	-1.4589642	13.91734	1
282	AGTRAP	0.26520336	0.120651625	-1.1356002	11.051615	1
283	C1orf167	3.1286618e-10	0.0020669878	4.437615	5.445945	1
