	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
1	FAM138A	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
2	OR4F5	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
3	AL627309.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
4	AL627309.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
5	AL627309.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
6	AL627309.5	0.023920588	0.018068638	-0.38613635	0.1452761	0
7	AL627309.4	0.01020531	8.1490725e-10	-3.4861095	0.49577034	0
8	AP006222.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
9	AL732372.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
10	OR4F29	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
11	AC114498.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
12	OR4F16	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
13	AL669831.2	4.656613e-10	0.004937138	2.569767	0.49723876	0
14	LINC01409	0.06330107	0.072345845	0.1898725	0.1260334	0
15	FAM87B	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
16	LINC01128	0.13791423	0.17106618	0.30876926	0.37683973	0
17	LINC00115	0.018406514	8.1490725e-10	-4.278468	0.78285956	0
18	FAM41C	4.656613e-10	0.017966172	4.2453556	1.5942329	0
19	AL645608.6	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
20	AL645608.2	4.656613e-10	0.009231508	3.3549461	1.0772712	0
21	AL645608.4	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
22	LINC02593	0.06441112	0.032112624	-0.9821546	0.6612025	0
23	SAMD11	0.41396695	0.18948574	-1.1233133	3.3230405	0
24	NOC2L	0.20284836	0.2143346	0.07908384	0.09532848	0
25	KLHL17	4.656613e-10	0.015203366	4.018221	1.5190295	0
26	PLEKHN1	4.656613e-10	0.0034570252	2.1560805	0.49723625	0
27	PERM1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
28	AL645608.7	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
29	HES4	0.31768462	0.18826921	-0.7516896	1.5888888	0
30	ISG15	0.24082012	0.2677409	0.1522816	0.21208245	0
31	AL645608.1	0.009498683	8.1490725e-10	-3.3921351	0.4957715	0
32	AGRN	0.10664866	0.09600967	-0.15012984	0.11965995	0
33	AL645608.5	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
34	AL645608.8	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
35	RNF223	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
36	C1orf159	0.02293626	0.0143209575	-0.64369136	0.24683012	0
37	AL390719.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
38	LINC01342	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
39	AL390719.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
40	TTLL10-AS1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
41	TTLL10	0.0076158186	8.1490725e-10	-3.1069868	0.49577135	0
42	TNFRSF18	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
43	TNFRSF4	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
44	SDF4	0.47851962	0.46643206	-0.03683315	0.06687512	0
45	B3GALT6	0.15175964	0.20092432	0.40255126	0.6033769	0
46	C1QTNF12	4.656613e-10	0.009082227	3.3337417	1.0399145	0
47	AL162741.1	4.656613e-10	0.0036269333	2.2100556	0.49724	0
48	UBE2J2	0.25732997	0.33494252	0.37899938	0.8358695	0
49	LINC01786	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
50	SCNN1D	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
51	ACAP3	0.03806603	0.05356268	0.48199978	0.29130197	0
52	PUSL1	0.057911795	0.06896648	0.24810752	0.1685291	0
53	INTS11	0.16315801	0.113472596	-0.52008295	0.6723411	0
54	AL139287.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
55	CPTP	0.055005874	0.056660082	0.04199479	0.022834042	0
56	TAS1R3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
57	DVL1	0.07389322	0.05788005	-0.34705627	0.22851533	0
58	MXRA8	0.060965292	0.028810816	-1.0556245	0.63648134	0
59	AURKAIP1	0.852072	1.0519154	0.3036502	1.9627244	0
60	CCNL2	0.20296973	0.22644188	0.15714289	0.19342215	0
61	MRPL20-AS1	0.08904472	0.092016526	0.046845403	0.033078045	0
62	MRPL20	0.94842565	1.0954789	0.2077512	1.290025	0
63	AL391244.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
64	ANKRD65	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
65	AL391244.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
66	TMEM88B	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
67	LINC01770	4.656613e-10	0.017273484	4.191679	1.5592612	0
68	VWA1	0.1137451	0.12635364	0.15040754	0.13195772	0
69	ATAD3C	0.010154181	8.1490725e-10	-3.4795115	0.49577117	0
70	ATAD3B	4.656613e-10	0.046962995	5.583849	3.5043588	0
71	ATAD3A	0.044410326	0.09637664	1.1005555	1.285089	0
72	TMEM240	0.08173217	0.08214371	0.007158702	0.0045310264	0
73	SSU72	0.7385742	0.7549028	0.031505857	0.08248616	0
74	AL645728.1	0.024991335	0.012518264	-0.9431209	0.36846793	0
75	FNDC10	0.1739932	0.20438959	0.23106411	0.2963649	0
76	AL691432.4	0.032321885	0.045070186	0.4673634	0.27689382	0
77	AL691432.2	0.123090304	0.07130313	-0.77926034	0.78432167	0
78	MIB2	0.17990702	0.24813408	0.46167392	0.82347196	0
79	MMP23B	0.2517996	0.28636336	0.18488185	0.26740858	0
80	CDK11B	0.19067688	0.13446307	-0.5007767	0.7070833	0
81	FO704657.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
82	SLC35E2B	0.0789855	0.05156864	-0.6055361	0.47176895	0
83	CDK11A	0.08684112	0.09400322	0.11308001	0.082684204	0
84	SLC35E2A	0.05437419	0.043913454	-0.302066	0.16871208	0
85	NADK	0.07728412	0.075250104	-0.0379804	0.024054369	0
86	GNB1	0.5436394	0.7165192	0.39771602	1.7455866	0
87	AL109917.1	0.008123323	0.0068463515	-0.21753742	0.04930936	0
88	CALML6	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
89	TMEM52	4.656613e-10	0.021778848	4.509622	1.8349895	0
90	CFAP74	4.656613e-10	0.007969123	3.1649663	0.79532623	0
91	AL391845.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
92	GABRD	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
93	AL391845.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
94	PRKCZ	0.13832757	0.12722108	-0.11984731	0.1093175	0
95	AL590822.2	4.656613e-10	0.0028132997	1.9310392	0.4972342	0
96	PRKCZ-AS1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
97	FAAP20	0.70741856	0.8347765	0.23851524	1.0309501	0
98	AL590822.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
99	SKI	0.11070923	0.117489204	0.08500719	0.067926385	0
100	AL590822.3	0.008530906	0.0109304255	0.32396019	0.08528216	0
101	MORN1	0.012107919	0.012545606	0.04738622	0.011218661	0
102	AL589739.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
103	AL513477.2	4.656613e-10	0.0062647713	2.8609166	0.7774202	0
104	RER1	0.32451454	0.3459649	0.09206785	0.14932376	0
105	PEX10	0.055532888	0.034344833	-0.67759115	0.43693346	0
106	PLCH2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
107	AL139246.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
108	AL139246.4	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
109	PANK4	0.008069199	0.020742467	1.2614685	0.54774386	0
110	HES5	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
111	AL139246.5	0.004519411	8.1490725e-10	-2.464513	0.49576962	0
112	TNFRSF14-AS1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
113	TNFRSF14	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
114	AL139246.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
115	PRXL2B	0.08175955	0.05454332	-0.5753124	0.4345082	0
116	MMEL1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
117	AL831784.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
118	TTC34	4.656613e-10	0.006455038	2.898215	0.7477604	0
119	AC242022.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
120	AC242022.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
121	AL592464.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
122	AL592464.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
123	AL592464.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
124	AL589702.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
125	ACTRT2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
126	PRDM16-DT	0.34529173	0.14408053	-1.255134	3.4309325	0
127	PRDM16	0.20117685	0.10682734	-0.9068947	1.4118924	0
128	AL008733.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
129	AL590438.1	0.009814237	0.0023115561	-1.7073506	0.3390223	0
130	AL354743.2	4.656613e-10	0.005241773	2.6419554	0.7883973	0
131	AL354743.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
132	ARHGEF16	0.017304983	0.012030945	-0.4902947	0.15449224	0
133	AL512413.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
134	MEGF6	4.656613e-10	0.014557105	3.959501	1.287538	0
135	AL513320.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
136	TPRG1L	0.06735382	0.106284946	0.6503538	0.66908467	0
137	WRAP73	0.010123234	0.03280429	1.60363	0.9233447	0
138	TP73	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
139	AL136528.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
140	AL136528.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
141	CCDC27	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
142	SMIM1	0.1235773	0.14929181	0.2707252	0.2838799	0
143	LRRC47	0.17896186	0.28501225	0.6683857	1.6136634	0
144	AL365330.1	4.656613e-10	0.0054540196	2.6901972	0.49723667	0
145	CEP104	0.07640667	0.070001565	-0.12460713	0.08277237	0
146	DFFB	4.656613e-10	0.015878757	4.077136	1.2889394	0
147	C1orf174	0.06491986	0.089902505	0.46360692	0.41670206	0
148	LINC01134	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
149	LINC01346	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
150	LINC01345	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
151	LINC02780	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
152	AL805961.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
153	LINC01777	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
154	AL355602.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
155	Z98747.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
156	LINC01646	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
157	AJAP1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
158	Z98886.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
159	BX005132.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
160	LINC02781	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
161	LINC02782	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
162	AL139823.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
163	Z98259.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
164	Z98259.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
165	Z98259.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
166	AL365255.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
167	NPHP4	4.656613e-10	0.012841791	3.790958	1.3249722	0
168	KCNAB2	0.019670915	0.016655076	-0.2275192	0.071049914	0
169	CHD5	4.656613e-10	0.002880265	1.9561545	0.4972353	0
170	RPL22	2.3224514	1.9720497	-0.23584203	8.5692625	0
171	AL031847.1	4.656613e-10	0.006872465	2.9768147	0.7990625	0
172	RNF207	0.11393679	0.07296683	-0.6358903	0.5533048	0
173	ICMT	0.19760215	0.17666392	-0.16073056	0.19030303	0
174	LINC00337	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
175	HES3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
176	GPR153	0.06495617	0.019316196	-1.6988775	1.2430768	0
177	ACOT7	0.020866122	0.022745164	0.11893632	0.04625048	0
178	AL031848.2	0.0060035647	0.00269295	-0.9233157	0.21076006	0
179	HES2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
180	ESPN	4.656613e-10	0.008402733	3.2330794	0.7696123	0
181	AL031848.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
182	TNFRSF25	0.009238941	0.006061878	-0.5359427	0.121801324	0
183	PLEKHG5	0.0072882287	0.022417806	1.4984702	0.7084975	0
184	NOL9	0.06730349	0.101622	0.5873087	0.6019635	0
185	TAS1R1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
186	ZBTB48	0.04608123	0.030042985	-0.6008847	0.30872145	0
187	KLHL21	0.03662051	0.09053838	1.2828575	1.4179311	0
188	PHF13	0.09242296	0.15479045	0.7377576	1.0787767	0
189	THAP3	0.1225165	0.13856575	0.17624119	0.17062424	0
190	DNAJC11	0.05907984	0.09480748	0.6732574	0.67990565	0
191	LINC01672	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
192	AL591163.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
193	CAMTA1-DT	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
194	CAMTA1	0.9312342	1.3022697	0.48337138	4.9225016	0
195	AL512330.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
196	CAMTA1-IT1	4.656613e-10	0.006920292	2.9855528	0.79141736	0
197	Z97987.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
198	AL365194.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
199	AL359881.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
200	AL359881.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
201	AL359881.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
202	VAMP3	0.34201714	0.41570604	0.28074938	0.649745	0
203	Z98884.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
204	PER3	0.10227085	0.05488998	-0.8857716	0.82700646	0
205	Z98884.1	0.0075724144	8.1490725e-10	-3.0997005	0.49577114	0
206	UTS2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
207	TNFRSF9	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
208	PARK7	1.208045	1.3742405	0.18581596	1.6184158	0
209	AL034417.4	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
210	AL034417.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
211	ERRFI1	0.0075649833	0.013703789	0.7796655	0.26187024	0
212	AL034417.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
213	LINC01714	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
214	AL358876.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
215	SLC45A1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
216	RERE	0.5531364	0.6284884	0.18393865	0.54851836	0
217	RERE-AS1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
218	AL357552.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
219	ENO1	4.005901	3.810556	-0.07210678	4.2210326	0
220	ENO1-AS1	4.656613e-10	0.0090449285	3.3283947	0.8018291	0
221	CA6	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
222	SLC2A7	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
223	SLC2A5	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
224	GPR157	0.009504751	0.0148137715	0.5901395	0.18047959	0
225	MIR34AHG	0.017403116	0.005649128	-1.468713	0.54902697	0
226	LNCTAM34A	0.008178209	0.006329641	-0.32447007	0.073369384	0
227	H6PD	0.10670796	0.113457434	0.08768636	0.06487445	0
228	SPSB1	0.008069199	0.0022201817	-1.493833	0.313547	0
229	BX323043.1	0.009087173	8.1490725e-10	-3.3344488	0.49577063	0
230	LINC02606	4.656613e-10	0.009873655	3.4427643	1.0666761	0
231	AL928921.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
232	SLC25A33	0.041465174	0.08086211	0.9469158	0.9673846	0
233	TMEM201	0.016305579	0.028388232	0.7640014	0.36945376	0
234	PIK3CD	0.025099896	0.014323217	-0.76832485	0.29243916	0
235	PIK3CD-AS1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
236	PIK3CD-AS2	0.04982772	0.06070843	0.27985197	0.17894663	0
237	CLSTN1	0.26362988	0.23210372	-0.18300389	0.25657415	0
238	CTNNBIP1	0.17419888	0.21423265	0.29690346	0.40189892	0
239	AL357140.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
240	AL357140.4	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
241	LZIC	0.5957885	0.54212564	-0.13593376	0.36495692	0
242	AL357140.2	0.0065163546	8.1490725e-10	-2.9100318	0.49577025	0
243	NMNAT1	0.07858429	0.24426949	1.6238122	5.1176248	1
244	AL603962.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
245	RBP7	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
246	UBE4B	0.15497334	0.1469848	-0.07585051	0.07154665	0
247	KIF1B	0.47241437	0.5132141	0.1192657	0.266528	0
248	AL139424.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
249	AL139424.2	4.656613e-10	0.0035318201	2.18009	0.4972418	0
250	PGD	0.20424974	0.22491588	0.13840525	0.17331652	0
251	AL139424.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
252	CENPS	0.048788674	0.07130733	0.5383244	0.40181208	0
253	CORT	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
254	DFFA	0.36318862	0.310302	-0.2263711	0.4279359	0
255	AL354956.1	4.656613e-10	0.005463723	2.6923647	0.8012153	0
256	PEX14	0.046364386	0.04637317	0.00026758018	0.00012618654	0
257	AL139423.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
258	CASZ1	0.1294629	0.20210157	0.63856184	1.0823925	0
259	AL139423.1	0.018344337	0.0024470151	-2.4884918	0.6349604	0
260	C1orf127	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
261	TARDBP	0.25504172	0.34801853	0.44692478	1.0976325	0
262	MASP2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
263	AL109811.2	0.0329031	0.019065935	-0.7566688	0.34309444	0
264	SRM	0.18639365	0.2927666	0.6485983	1.5127348	0
265	EXOSC10	0.15167873	0.08720773	-0.7915221	0.99979675	0
266	AL109811.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
267	EXOSC10-AS1	4.656613e-10	0.0048556407	2.5498264	0.49723724	0
268	MTOR	0.13928334	0.1616511	0.21343681	0.23995438	0
269	MTOR-AS1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
270	ANGPTL7	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
271	UBIAD1	0.06385506	0.05771722	-0.1434356	0.084937215	0
272	AL031291.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
273	DISP3	4.656613e-10	0.005463114	2.6922288	0.4972396	0
274	AL590989.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
275	LINC01647	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
276	AL031731.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
277	FBXO2	0.3788174	0.2940498	-0.36434752	0.79634297	0
278	FBXO44	0.13076118	0.11058924	-0.23972735	0.21421531	0
279	FBXO6	0.008203722	0.012024642	0.50095445	0.14966455	0
280	MAD2L2	0.1704556	0.114318274	-0.5722139	0.7465856	0
281	DRAXIN	4.656613e-10	0.0034884224	2.1662078	0.49724084	0
282	AGTRAP	0.16059619	0.11733731	-0.44948816	0.54201585	0
283	C1orf167	0.0097402455	0.016100427	0.6710054	0.21941724	0
284	AL953897.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
285	MTHFR	0.16249807	0.18952182	0.22068255	0.26204094	0
286	CLCN6	0.031340197	0.046694223	0.5604861	0.3540358	0
287	NPPA	0.10457525	0.7700467	2.8685465	16.403366	1
288	NPPB	0.026329974	0.21402723	2.9759634	5.3276176	1
289	AL021155.5	0.007275232	0.0042020353	-0.6697236	0.14575285	0
290	KIAA2013	0.26510447	0.20563382	-0.3649163	0.61175543	0
291	PLOD1	0.612645	0.6731601	0.13568705	0.38529134	0
292	AL096840.2	4.656613e-10	0.002776533	1.9170617	0.49723512	0
293	MFN2	0.13917713	0.27708626	0.98828137	2.728838	0
294	MIIP	0.0330705	0.047633685	0.5134328	0.30815256	0
295	TNFRSF8	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
296	AL357835.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
297	TNFRSF1B	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
298	VPS13D	0.06176423	0.11272312	0.85751116	1.1054802	0
299	LINC02766	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
300	DHRS3	0.024885032	0.007667983	-1.57835	0.5775585	0
301	AC254633.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
302	AADACL4	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
303	AADACL3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
304	C1orf158	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
305	PRAMEF12	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
306	PRAMEF1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
307	LINC01784	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
308	PRAMEF11	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
309	HNRNPCL1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
310	PRAMEF2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
311	PRAMEF4	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
312	PRAMEF10	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
313	PRAMEF7	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
314	PRAMEF6	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
315	PRAMEF27	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
316	HNRNPCL3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
317	PRAMEF25	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
318	HNRNPCL2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
319	AC245056.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
320	PRAMEF26	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
321	HNRNPCL4	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
322	PRAMEF9	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
323	PRAMEF13	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
324	PRAMEF18	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
325	PRAMEF5	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
326	PRAMEF8	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
327	PRAMEF33	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
328	PRAMEF15	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
329	AC243961.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
330	PRAMEF14	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
331	PRAMEF19	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
332	PRAMEF17	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
333	PRAMEF20	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
334	LRRC38	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
335	AL354712.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
336	PDPN	0.10540527	0.18671952	0.819009	1.3559546	0
337	AL359771.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
338	PRDM2	0.16493925	0.26783925	0.6960885	1.4690361	0
339	KAZN	0.031840555	0.075909175	1.2276773	1.1350255	0
340	AL357873.1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
341	KAZN-AS1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
342	AL031293.1	4.656613e-10	0.013121307	3.819801	1.3403444	0
343	TMEM51-AS1	0.03376581	0.025319945	-0.40151274	0.18088754	0
344	TMEM51	0.01894137	0.0460108	1.2372276	0.81984985	0
345	C1orf195	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
346	FHAD1	4.656613e-10	0.003634646	2.2124586	0.49723905	0
347	AL031283.2	4.656613e-10	0.002351758	1.7449174	0.49723476	0
348	AL031283.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
349	AL031283.1	0.009599677	8.1490725e-10	-3.4059472	0.49577177	0
350	EFHD2	0.12179418	0.13456726	0.14276662	0.12420771	0
351	CTRC	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
352	CELA2A	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
353	CELA2B	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
354	CASP9	0.049263973	0.09971114	1.0026267	1.2403868	0
355	DNAJC16	0.12072776	0.15512586	0.35905126	0.4243614	0
356	AL121992.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
357	AGMAT	4.656613e-10	0.0096749	3.41615	1.0620699	0
358	AL121992.1	4.656613e-10	0.007476124	3.083404	0.75469077	0
359	DDI2	0.12573661	0.13786027	0.1318006	0.120906875	0
360	RSC1A1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
361	AL121992.2	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
362	PLEKHM2	0.24480346	0.37124944	0.59876436	1.7347249	0
363	AL450998.3	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
364	SLC25A34	0.007839489	0.0063480753	-0.2665965	0.0609711	0
365	SLC25A34-AS1	4.656613e-10	8.1490725e-10	5.159479e-07	6.648468	0
