	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
1	FAM138A	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
2	OR4F5	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
3	AL627309.1	0.0045490675	0.0026718169	-0.5957513	0.24730362	0
4	AL627309.3	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
5	AL627309.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
6	AL627309.5	0.031566303	0.021071278	-0.5612098	0.63327765	0
7	AL627309.4	0.0018978092	0.001107593	-0.45936632	0.14313908	0
8	AP006222.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
9	AL732372.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
10	OR4F29	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
11	AC114498.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
12	OR4F16	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
13	AL669831.2	-6.170012e-09	0.0009235088	0.94374925	0.49799302	0
14	LINC01409	0.04716189	0.039699793	-0.24287046	0.32487553	0
15	FAM87B	0.0011297857	-7.21775e-09	-1.0907186	0.497896	0
16	LINC01128	0.1374992	0.13916726	0.017271778	0.031842526	0
17	LINC00115	0.0061389394	0.0040562944	-0.49762923	0.2818053	0
18	FAM41C	0.0050696195	0.01534869	1.429497	1.4911859	0
19	AL645608.6	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
20	AL645608.2	0.004924508	-7.21775e-09	-2.5667057	1.2153054	0
21	AL645608.4	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
22	LINC02593	0.015558766	0.007055158	-1.0396105	1.0786686	0
23	SAMD11	0.041135196	0.04356888	0.08101086	0.09455818	0
24	NOC2L	0.21044667	0.23348615	0.14920877	0.50101894	0
25	KLHL17	0.013994256	0.014587942	0.056020454	0.03224419	0
26	PLEKHN1	0.004441334	0.0009819429	-1.4570451	0.6619884	0
27	PERM1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
28	AL645608.7	0.0006481706	0.0036003217	1.4808692	0.8345605	0
29	HES4	0.2639938	0.45693782	0.78919315	9.771821	0
30	ISG15	0.30753013	0.3903481	0.34304106	2.4145136	0
31	AL645608.1	-6.170012e-09	0.0012225698	1.1522377	0.49798703	0
32	AGRN	0.1763896	0.23426838	0.40738603	2.084458	0
33	AL645608.5	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
34	AL645608.8	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
35	RNF223	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
36	C1orf159	0.018029707	0.036336914	0.9723492	1.5337567	0
37	AL390719.3	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
38	LINC01342	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
39	AL390719.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
40	TTLL10-AS1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
41	TTLL10	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
42	TNFRSF18	0.0010091291	0.0025033974	0.8021844	0.33321637	0
43	TNFRSF4	0.032313354	0.049451835	0.59880614	0.9397161	0
44	SDF4	0.5825684	0.71211845	0.2892399	4.1477413	0
45	B3GALT6	0.21380378	0.21505915	0.008406907	0.020412555	0
46	C1QTNF12	0.0021181903	0.0045103887	0.82144517	0.41620946	0
47	AL162741.1	0.0018288187	0.0016253664	-0.10768093	0.042476743	0
48	UBE2J2	0.3077256	0.33330572	0.114842914	0.49467748	0
49	LINC01786	0.0017673626	0.0009481398	-0.5064145	0.16555788	0
50	SCNN1D	0.0035358747	0.0007690459	-1.3584093	0.6473297	0
51	ACAP3	0.09314425	0.1021359	0.13160156	0.2453074	0
52	PUSL1	0.08606478	0.09297698	0.110218205	0.18991736	0
53	INTS11	0.21918608	0.22811207	0.05733025	0.16078068	0
54	AL139287.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
55	CPTP	0.08537595	0.1048133	0.2928194	0.6717644	0
56	TAS1R3	-6.170012e-09	0.00085931504	0.8947801	0.49799374	0
57	DVL1	0.07770849	0.07939833	0.030646259	0.043700337	0
58	MXRA8	0.017383186	0.013893373	-0.30371627	0.2650711	0
59	AURKAIP1	0.8630405	0.94874686	0.13644406	1.8543537	0
60	CCNL2	0.33788073	0.37122232	0.13538693	0.64891124	0
61	MRPL20-AS1	0.05867789	0.06839712	0.21767938	0.34959728	0
62	MRPL20	0.790858	0.86728257	0.13292296	1.5495971	0
63	AL391244.2	0.003116523	0.004607914	0.44603792	0.23969589	0
64	ANKRD65	0.002400083	0.0012801973	-0.57641125	0.16706498	0
65	AL391244.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
66	TMEM88B	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
67	LINC01770	0.0033081272	0.0018969885	-0.57250696	0.25414354	0
68	VWA1	0.17161538	0.28160888	0.7112457	5.265515	0
69	ATAD3C	0.0041259946	0.006166723	0.4834816	0.23757604	0
70	ATAD3B	0.02738928	0.029725427	0.11408672	0.10069536	0
71	ATAD3A	0.06487443	0.10015669	0.6188012	1.881071	0
72	TMEM240	0.06121959	0.05865657	-0.060687933	0.07813848	0
73	SSU72	0.7621573	0.7131187	-0.09581661	0.807135	0
74	AL645728.1	0.008071889	0.021105757	1.2849472	1.5689006	0
75	FNDC10	0.05289556	0.06706186	0.3366802	0.61397856	0
76	AL691432.4	0.002431435	0.003616237	0.42790526	0.17810258	0
77	AL691432.2	0.03701194	0.024778565	-0.56028056	0.742064	0
78	MIB2	0.12101215	0.112334736	-0.106434695	0.21676855	0
79	MMP23B	0.03432483	0.03658837	0.08960387	0.094196975	0
80	CDK11B	0.1680471	0.21001221	0.31990126	1.373358	0
81	FO704657.1	0.002272362	0.002497381	0.09594264	0.033505153	0
82	SLC35E2B	0.11859648	0.0967202	-0.2914463	0.66882557	0
83	CDK11A	0.13992912	0.15401764	0.13746275	0.34228256	0
84	SLC35E2A	0.04008599	0.04413335	0.13554741	0.15427998	0
85	NADK	0.13866988	0.15221065	0.13349564	0.31612825	0
86	GNB1	1.0423243	1.2394702	0.2496994	7.690121	0
87	AL109917.1	0.0039353226	-7.21775e-09	-2.3031547	1.0431349	0
88	CALML6	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
89	TMEM52	0.005772584	0.0012578856	-1.5847341	0.7745892	0
90	CFAP74	0.019914579	0.014710208	-0.41280666	0.345586	0
91	AL391845.2	0.009054435	0.009234786	0.025648873	0.012809156	0
92	GABRD	0.023768242	0.026210865	0.13569129	0.10899985	0
93	AL391845.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
94	PRKCZ	0.049293973	0.028381169	-0.7754936	1.2529327	0
95	AL590822.2	0.0038129133	0.0014385149	-0.9809077	0.34805486	0
96	PRKCZ-AS1	0.002638163	0.0013344405	-0.64013344	0.18088542	0
97	FAAP20	0.6041741	0.69676787	0.20539698	2.3728473	0
98	AL590822.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
99	SKI	0.25366652	0.2780261	0.13179073	0.48873052	0
100	AL590822.3	0.003862775	0.002181701	-0.6119817	0.29826996	0
101	MORN1	0.007961106	0.0058709444	-0.38316828	0.18909988	0
102	AL589739.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
103	AL513477.2	0.008757275	-7.21775e-09	-3.2864885	1.6999383	0
104	RER1	0.51982033	0.54463977	0.06716303	0.3791806	0
105	PEX10	0.05784084	0.07162707	0.30368978	0.53102905	0
106	PLCH2	0.001268545	0.0010853204	-0.12149831	0.039706383	0
107	AL139246.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
108	AL139246.4	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
109	PANK4	0.032998964	0.021949332	-0.56703854	0.73015976	0
110	HES5	0.002026124	-7.21775e-09	-1.5974815	0.7985215	0
111	AL139246.5	0.03189335	0.040169965	0.32379627	0.39642414	0
112	TNFRSF14-AS1	0.0072864927	0.011093306	0.54537517	0.30510363	0
113	TNFRSF14	0.03298523	0.026842237	-0.28763264	0.30382702	0
114	AL139246.3	-6.170012e-09	0.0008934293	0.92101043	0.49799782	0
115	PRXL2B	0.12638438	0.17015022	0.4260748	1.6043838	0
116	MMEL1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
117	AL831784.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
118	TTC34	0.002449131	0.0018847248	-0.25779924	0.0978621	0
119	AC242022.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
120	AC242022.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
121	AL592464.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
122	AL592464.3	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
123	AL592464.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
124	AL589702.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
125	ACTRT2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
126	PRDM16-DT	0.025755884	0.012863183	-0.94859755	1.2490348	0
127	PRDM16	0.037305813	0.015270611	-1.2352948	2.1393032	0
128	AL008733.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
129	AL590438.1	0.0006606884	-7.21775e-09	-0.73179185	0.49788857	0
130	AL354743.2	-6.170012e-09	0.000802152	0.84972954	0.49798852	0
131	AL354743.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
132	ARHGEF16	0.0178323	0.013525946	-0.37457708	0.30035567	0
133	AL512413.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
134	MEGF6	0.0036148163	0.011143162	1.395799	1.0992416	0
135	AL513320.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
136	TPRG1L	0.17262511	0.19011995	0.13850275	0.38896984	0
137	WRAP73	0.08770942	0.10440833	0.24882965	0.56736684	0
138	TP73	0.0059728976	0.00062387844	-2.1023147	0.6301402	0
139	AL136528.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
140	AL136528.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
141	CCDC27	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
142	SMIM1	0.059119094	0.01305726	-2.0965078	5.904497	1
143	LRRC47	0.18109255	0.17104818	-0.081859216	0.2063867	0
144	AL365330.1	0.0005156774	-7.21775e-09	-0.5999731	0.4978773	0
145	CEP104	0.15445061	0.15448965	0.00036232194	0.0006871168	0
146	DFFB	0.019689023	0.01920764	-0.03396478	0.02432291	0
147	C1orf174	0.09598486	0.09998927	0.058370657	0.10203353	0
148	LINC01134	0.00421252	-7.21775e-09	-2.3819914	1.0522891	0
149	LINC01346	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
150	LINC01345	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
151	LINC02780	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
152	AL805961.1	-6.170012e-09	0.0012953772	1.1987401	0.4980083	0
153	LINC01777	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
154	AL355602.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
155	Z98747.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
156	LINC01646	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
157	AJAP1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
158	Z98886.1	-6.170012e-09	0.0011655086	1.1147147	0.49799892	0
159	BX005132.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
160	LINC02781	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
161	LINC02782	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
162	AL139823.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
163	Z98259.3	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
164	Z98259.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
165	Z98259.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
166	AL365255.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
167	NPHP4	0.023619799	0.0242624	0.037172735	0.029345587	0
168	KCNAB2	0.020933198	0.023322549	0.14917822	0.12425961	0
169	CHD5	-6.170012e-09	0.0011499581	1.1043173	0.4979979	0
170	RPL22	2.358288	2.2345595	-0.07771559	5.0311036	0
171	AL031847.1	0.0023370776	0.00072396477	-0.95285493	0.29248586	0
172	RNF207	0.013017699	0.013923617	0.09034765	0.060759217	0
173	ICMT	0.17171833	0.20124204	0.22766177	0.83207923	0
174	LINC00337	0.002016821	0.0028328737	0.34539726	0.14312127	0
175	HES3	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
176	GPR153	0.0150152	0.008611289	-0.73664	0.6247673	0
177	ACOT7	0.1805356	0.230544	0.35103384	1.6251857	0
178	AL031848.2	0.0096897865	0.0028679874	-1.466578	0.796509	0
179	HES2	0.016344385	0.022102818	0.41360018	0.38885325	0
180	ESPN	0.0013933928	-7.21775e-09	-1.2590675	0.49789327	0
181	AL031848.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
182	TNFRSF25	0.0895962	0.14590847	0.6973952	2.9274185	0
183	PLEKHG5	0.066511914	0.13674058	1.0287396	5.1074576	1
184	NOL9	0.114173554	0.15168473	0.40674633	1.4802511	0
185	TAS1R1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
186	ZBTB48	0.025138065	0.044549476	0.8012821	1.3359135	0
187	KLHL21	0.031556785	0.024064293	-0.37732467	0.4384305	0
188	PHF13	0.08375456	0.08170001	-0.035403453	0.053920165	0
189	THAP3	0.13171376	0.1155563	-0.18729104	0.44214237	0
190	DNAJC11	0.06536848	0.080098905	0.28918418	0.5515497	0
191	LINC01672	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
192	AL591163.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
193	CAMTA1-DT	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
194	CAMTA1	0.7301683	0.6828243	-0.09657781	0.7699046	0
195	AL512330.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
196	CAMTA1-IT1	0.0013339793	0.0012258257	-0.068451084	0.021177666	0
197	Z97987.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
198	AL365194.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
199	AL359881.3	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
200	AL359881.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
201	AL359881.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
202	VAMP3	0.5923397	0.68125373	0.20145002	2.2016935	0
203	Z98884.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
204	PER3	0.02428737	0.010231296	-1.1708926	1.4972312	0
205	Z98884.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
206	UTS2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
207	TNFRSF9	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
208	PARK7	1.2275611	1.3653721	0.1533807	4.021254	0
209	AL034417.4	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
210	AL034417.3	0.0012667143	0.0027510491	0.72669154	0.2819132	0
211	ERRFI1	0.046662252	0.043930292	-0.0851587	0.092238314	0
212	AL034417.2	0.0046488745	0.0036724382	-0.27378786	0.11208679	0
213	LINC01714	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
214	AL358876.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
215	SLC45A1	0.011675165	0.012827069	0.12549073	0.07866365	0
216	RERE	0.45093462	0.52119166	0.20846538	1.7334146	0
217	RERE-AS1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
218	AL357552.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
219	ENO1	2.514746	2.4435318	-0.04142808	1.3239563	0
220	ENO1-AS1	-6.170012e-09	0.0012924966	1.1969285	0.49800715	0
221	CA6	0.0013610761	-7.21775e-09	-1.239455	0.4979024	0
222	SLC2A7	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
223	SLC2A5	0.0006967273	-7.21775e-09	-0.7627651	0.49788857	0
224	GPR157	0.012695412	0.0075534517	-0.6791141	0.49192488	0
225	MIR34AHG	0.05583084	0.048091203	-0.21120949	0.27306962	0
226	LNCTAM34A	0.045702703	0.050860472	0.15112929	0.18548228	0
227	H6PD	0.078599356	0.097666234	0.30979967	0.72356534	0
228	SPSB1	0.019474715	0.013082169	-0.53997374	0.48377866	0
229	BX323043.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
230	LINC02606	0.009600099	0.00942571	-0.02393213	0.010365939	0
231	AL928921.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
232	SLC25A33	0.06619904	0.050966065	-0.3708709	0.65968907	0
233	TMEM201	0.030613625	0.035613954	0.211847	0.23373319	0
234	PIK3CD	0.0037204572	0.0056531164	0.4951037	0.24814767	0
235	PIK3CD-AS1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
236	PIK3CD-AS2	0.017657543	0.010727317	-0.66988593	0.6475041	0
237	CLSTN1	0.25760928	0.35663876	0.46772903	3.9209614	0
238	CTNNBIP1	0.2186663	0.30854523	0.49483654	3.7027903	0
239	AL357140.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
240	AL357140.4	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
241	LZIC	0.3936478	0.37058413	-0.08687675	0.3887158	0
242	AL357140.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
243	NMNAT1	0.14671439	0.13337655	-0.13652895	0.32868892	0
244	AL603962.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
245	RBP7	0.015543694	0.027275689	0.7732808	0.84846264	0
246	UBE4B	0.14188543	0.15438506	0.12098896	0.28138694	0
247	KIF1B	0.6317332	0.7698243	0.2848049	4.204091	0
248	AL139424.3	0.0035096281	0.013949664	1.7290326	1.7086449	0
249	AL139424.2	0.012796617	0.014071004	0.12746102	0.07403691	0
250	PGD	0.39007026	0.45511004	0.2219542	1.550716	0
251	AL139424.1	0.00067860505	-7.21775e-09	-0.7472732	0.49788857	0
252	CENPS	0.05291302	0.04935152	-0.09859842	0.1252413	0
253	CORT	0.0047074165	0.005362617	0.1567824	0.07170768	0
254	DFFA	0.3014381	0.3547592	0.23426123	1.3519368	0
255	AL354956.1	0.003134856	0.0011247589	-0.960538	0.376342	0
256	PEX14	0.041585363	0.056404814	0.43081403	0.72011304	0
257	AL139423.2	-6.170012e-09	0.001987408	1.5789031	0.7999845	0
258	CASZ1	0.039247677	0.015403889	-1.2948675	2.506444	0
259	AL139423.1	-6.170012e-09	0.0029562414	1.9841393	0.75023735	0
260	C1orf127	0.0013236833	-7.21775e-09	-1.2164237	0.49789774	0
261	TARDBP	0.28107432	0.3227431	0.19877414	0.978706	0
262	MASP2	-6.170012e-09	0.0022410918	1.6964886	0.79650515	0
263	AL109811.2	0.0347498	0.06348768	0.8510886	1.9952103	0
264	SRM	0.4337847	0.48513567	0.1610579	1.0708268	0
265	EXOSC10	0.16983788	0.20726784	0.28581223	1.1056186	0
266	AL109811.1	0.0021580947	0.0018579314	-0.14408304	0.053928226	0
267	EXOSC10-AS1	0.009660992	0.003750607	-1.166158	0.8514685	0
268	MTOR	0.15773736	0.1634873	0.05133442	0.11318439	0
269	MTOR-AS1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
270	ANGPTL7	0.0020890948	-7.21775e-09	-1.6271945	0.49789345	0
271	UBIAD1	0.051072795	0.06687204	0.3822876	0.7340193	0
272	AL031291.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
273	DISP3	0.000780661	0.0010676048	0.21554752	0.08182309	0
274	AL590989.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
275	LINC01647	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
276	AL031731.1	-6.170012e-09	0.0011330688	1.0929394	0.49798912	0
277	FBXO2	0.045795865	0.00935134	-2.1765635	4.9630337	0
278	FBXO44	0.041366037	0.024313098	-0.743024	1.1292534	0
279	FBXO6	0.01267344	0.008155094	-0.5787296	0.41430464	0
280	MAD2L2	0.12501232	0.09321202	-0.41958177	1.2239355	0
281	DRAXIN	-6.170012e-09	0.0010360355	1.0257715	0.49800068	0
282	AGTRAP	0.30794924	0.3827397	0.3127582	2.2807684	0
283	C1orf167	0.0053977356	0.006597694	0.24800022	0.12619561	0
284	AL953897.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
285	MTHFR	0.17416862	0.16873096	-0.045494553	0.10504823	0
286	CLCN6	0.07568236	0.06210098	-0.2812323	0.5147341	0
287	NPPA	0.06328522	0.060761854	-0.057770986	0.05419645	0
288	NPPB	0.009256925	0.01685328	0.7995908	0.45632768	0
289	AL021155.5	0.008442756	0.0046531223	-0.74016005	0.45723101	0
290	KIAA2013	0.25516003	0.2537152	-0.008160395	0.021743886	0
291	PLOD1	0.68225956	0.8410283	0.30143493	5.0915394	0
292	AL096840.2	-6.170012e-09	0.0006383795	0.7122784	0.4979924	0
293	MFN2	0.10277202	0.1122098	0.12558137	0.25862536	0
294	MIIP	0.06355567	0.07015123	0.14034487	0.21358472	0
295	TNFRSF8	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
296	AL357835.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
297	TNFRSF1B	0.1201197	0.20955165	0.7977407	5.0240793	0
298	VPS13D	0.13323359	0.153847	0.20609757	0.5642139	0
299	LINC02766	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
300	DHRS3	0.0008651358	0.0017017525	0.5346148	0.17959599	0
301	AC254633.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
302	AADACL4	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
303	AADACL3	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
304	C1orf158	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
305	PRAMEF12	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
306	PRAMEF1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
307	LINC01784	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
308	PRAMEF11	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
309	HNRNPCL1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
310	PRAMEF2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
311	PRAMEF4	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
312	PRAMEF10	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
313	PRAMEF7	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
314	PRAMEF6	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
315	PRAMEF27	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
316	HNRNPCL3	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
317	PRAMEF25	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
318	HNRNPCL2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
319	AC245056.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
320	PRAMEF26	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
321	HNRNPCL4	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
322	PRAMEF9	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
323	PRAMEF13	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
324	PRAMEF18	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
325	PRAMEF5	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
326	PRAMEF8	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
327	PRAMEF33	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
328	PRAMEF15	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
329	AC243961.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
330	PRAMEF14	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
331	PRAMEF19	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
332	PRAMEF17	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
333	PRAMEF20	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
334	LRRC38	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
335	AL354712.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
336	PDPN	0.04034666	0.005451125	-2.680148	4.7992477	0
337	AL359771.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
338	PRDM2	0.29045573	0.39080468	0.42685786	3.7957613	0
339	KAZN	0.08902184	0.077809595	-0.19190378	0.36112103	0
340	AL357873.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
341	KAZN-AS1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
342	AL031293.1	0.0020675329	0.001020731	-0.60220146	0.24237628	0
343	TMEM51-AS1	0.008846873	0.00091050006	-2.3657153	1.4341382	0
344	TMEM51	0.091116466	0.13925159	0.6064862	2.4107468	0
345	C1orf195	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
346	FHAD1	0.0056314645	0.013535046	1.1321362	0.9034839	0
347	AL031283.2	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
348	AL031283.3	0.0015991369	-7.21775e-09	-1.3780429	0.49789572	0
349	AL031283.1	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
350	EFHD2	0.22924355	0.23047026	0.007666017	0.018895779	0
351	CTRC	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
352	CELA2A	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
353	CELA2B	-6.170012e-09	-7.21775e-09	-1.5478447e-06	2.0977285	0
354	CASP9	0.031495597	0.029086256	-0.111139536	0.11165317	0
